año,sector,actividad,subactividad,categoria,id_ipcc,tipo_de_gas,valor_en_toneladas_de_co2e,tipo_de_registro
2021,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,CH4,0.0,Sin emisión/remoción
2022,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,CH4,0.0,Sin emisión/remoción
1990,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1991,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1992,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1993,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1994,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1995,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1996,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1997,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1998,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1999,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2000,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2001,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2002,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2003,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2004,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2005,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2006,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2007,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2008,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2009,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2010,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2011,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2012,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2013,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2014,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2015,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2016,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2017,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2018,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2019,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2020,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2021,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
2022,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai2,N2O,0.0,Sin emisión/remoción
1990,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.81,Emisión
1991,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.54,Emisión
1992,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.23,Emisión
1993,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.87,Emisión
1994,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.92,Emisión
1995,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.0,Emisión
1996,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.16,Emisión
1997,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.19,Emisión
1998,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.29,Emisión
1999,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.24,Emisión
2000,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.18,Emisión
2001,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.03,Emisión
2002,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.89,Emisión
2003,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.99,Emisión
2004,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.05,Emisión
2005,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.94,Emisión
2006,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.03,Emisión
2007,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.15,Emisión
2008,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,1.02,Emisión
2009,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.84,Emisión
2010,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.73,Emisión
2011,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.58,Emisión
2012,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.62,Emisión
2013,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.63,Emisión
2014,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.6,Emisión
2015,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.59,Emisión
2016,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.6,Emisión
2017,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.56,Emisión
2018,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.53,Emisión
2019,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.52,Emisión
2020,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.47,Emisión
2021,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.59,Emisión
2022,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CO2,0.63,Emisión
1990,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.01,Emisión
1991,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.01,Emisión
1992,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
1993,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
1994,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
1995,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
1996,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
1997,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
1998,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
1999,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2000,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2001,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2002,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2003,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2004,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2005,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2006,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2007,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2008,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2009,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2010,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2011,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2012,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2013,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2014,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2015,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2016,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2017,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2018,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2019,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2020,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2021,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
2022,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,CH4,0.0,Sin emisión/remoción
1990,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1991,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1992,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1993,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1994,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1995,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1996,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1997,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1998,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1999,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2000,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2001,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2002,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2003,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2004,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2005,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2006,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2007,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2008,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2009,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2010,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2011,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2012,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2013,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2014,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2015,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2016,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2017,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2018,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2019,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2020,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2021,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
2022,Energía,Actividades de quema de combustible,Otros sectores,Comercial/institucional,1A4ai3,N2O,0.0,Sin emisión/remoción
1990,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,13.42,Emisión
1991,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,13.17,Emisión
1992,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,12.98,Emisión
1993,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,15.01,Emisión
1994,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,15.07,Emisión
1995,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,15.12,Emisión
1996,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,15.04,Emisión
1997,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,15.05,Emisión
1998,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,15.24,Emisión
1999,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,16.42,Emisión
2000,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,17.42,Emisión
2001,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,16.92,Emisión
2002,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,16.48,Emisión
2003,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,17.15,Emisión
2004,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,17.63,Emisión
2005,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,18.72,Emisión
2006,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,18.75,Emisión
2007,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,22.1,Emisión
2008,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,21.0,Emisión
2009,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,20.6,Emisión
2010,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,23.88,Emisión
2011,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,23.88,Emisión
2012,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,25.15,Emisión
2013,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,26.29,Emisión
2014,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,25.31,Emisión
2015,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,25.59,Emisión
2016,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,26.9,Emisión
2017,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,24.18,Emisión
2018,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,23.93,Emisión
2019,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,23.05,Emisión
2020,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,23.31,Emisión
2021,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,24.14,Emisión
2022,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CO2,25.88,Emisión
1990,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.09,Emisión
1991,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.09,Emisión
1992,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.1,Emisión
1993,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.1,Emisión
1994,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.1,Emisión
1995,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.1,Emisión
1996,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.1,Emisión
1997,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.1,Emisión
1998,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
1999,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.1,Emisión
2000,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.09,Emisión
2001,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.1,Emisión
2002,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.09,Emisión
2003,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.11,Emisión
2004,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.14,Emisión
2005,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
2006,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
2007,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.13,Emisión
2008,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
2009,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
2010,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.13,Emisión
2011,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.13,Emisión
2012,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.13,Emisión
2013,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.14,Emisión
2014,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.14,Emisión
2015,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.14,Emisión
2016,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.13,Emisión
2017,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
2018,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
2019,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
2020,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.11,Emisión
2021,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.12,Emisión
2022,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,CH4,0.13,Emisión
1990,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
1991,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
1992,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
1993,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
1994,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
1995,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
1996,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
1997,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
1998,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
1999,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
2000,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
2001,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
2002,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
2003,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.01,Emisión
2004,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2005,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2006,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2007,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2008,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2009,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2010,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2011,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2012,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2013,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2014,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2015,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2016,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2017,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2018,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2019,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2020,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2021,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
2022,Energía,Actividades de quema de combustible,Otros sectores,Residencial,1A4b,N2O,0.02,Emisión
1990,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,4.86,Emisión
1991,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,4.46,Emisión
1992,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,5.59,Emisión
1993,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,6.56,Emisión
1994,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,7.18,Emisión
1995,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,7.1,Emisión
1996,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,8.55,Emisión
1997,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,8.78,Emisión
1998,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,9.06,Emisión
1999,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,8.79,Emisión
2000,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,7.74,Emisión
2001,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,9.34,Emisión
2002,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,8.6,Emisión
2003,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,9.06,Emisión
2004,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,9.68,Emisión
2005,Energía,Actividades de quema de combustible,Otros sectores,Agricultura/Silvicultura/Pesca/Piscifactorías,1A4c,CO2,10.17,Emisión
