id,anio,sector_id,actividad,subactividad,categoria,id_ipcc,gas_id,valor_tco2e,tipo_de_registro
54,2010,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,04",Emisión
55,2011,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,06",Emisión
56,2012,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,06",Emisión
57,2013,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,06",Emisión
58,2014,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,07",Emisión
59,2015,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,07",Emisión
60,2016,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,08",Emisión
61,2017,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,1",Emisión
62,2018,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,11",Emisión
63,2019,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,1",Emisión
64,2020,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,07",Emisión
65,2021,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,07",Emisión
66,2022,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,1,"0,06",Emisión
67,1990,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
68,1991,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
69,1992,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
70,1993,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
71,1994,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
72,1995,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
73,1996,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
74,1997,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,01",Emisión
75,1998,2,Actividades de quema de combustible,Industrias de la energía,Producción pública de electricidad y calor,1A1a,4,"0,02",Emisión
